model,algorithm,games,wins_X,wins_O,draws
large-3x3-e100-b128-q-sp10.pt,Q,10,2,1,7
large-3x3-e100-b128-sarsa-sp10.pt,SARSA,10,4,1,5
large-3x3-e100-b128-q-sp50.pt,Q,50,39,3,8
large-3x3-e100-b128-sarsa-sp50.pt,SARSA,50,30,13,7
large-3x3-e100-b128-q-sp100.pt,Q,100,72,13,15
large-3x3-e100-b128-sarsa-sp100.pt,SARSA,100,75,11,14
large-3x3-e100-b256-q-sp10.pt,Q,10,8,2,0
large-3x3-e100-b256-sarsa-sp10.pt,SARSA,10,8,1,1
large-3x3-e100-b256-q-sp50.pt,Q,50,38,8,4
large-3x3-e100-b256-sarsa-sp50.pt,SARSA,50,40,6,4
large-3x3-e100-b256-q-sp100.pt,Q,100,50,16,34
large-3x3-e100-b256-sarsa-sp100.pt,SARSA,100,79,17,4
large-3x3-e100-b64-q-sp10.pt,Q,10,9,1,0
large-3x3-e100-b64-sarsa-sp10.pt,SARSA,10,10,0,0
large-3x3-e100-b64-q-sp50.pt,Q,50,44,5,1
large-3x3-e100-b64-sarsa-sp50.pt,SARSA,50,45,2,3
large-3x3-e100-b64-q-sp100.pt,Q,100,85,11,4
large-3x3-e100-b64-sarsa-sp100.pt,SARSA,100,69,28,3
large-3x3-e20-b128-q-sp10.pt,Q,10,7,1,2
large-3x3-e20-b128-sarsa-sp10.pt,SARSA,10,5,3,2
large-3x3-e20-b128-q-sp50.pt,Q,50,27,17,6
large-3x3-e20-b128-sarsa-sp50.pt,SARSA,50,25,4,21
large-3x3-e20-b128-q-sp100.pt,Q,100,72,10,18
large-3x3-e20-b128-sarsa-sp100.pt,SARSA,100,58,23,19
large-3x3-e20-b256-q-sp10.pt,Q,10,8,2,0
large-3x3-e20-b256-sarsa-sp10.pt,SARSA,10,9,0,1
large-3x3-e20-b256-q-sp50.pt,Q,50,24,16,10
large-3x3-e20-b256-sarsa-sp50.pt,SARSA,50,20,26,4
large-3x3-e20-b256-q-sp100.pt,Q,100,52,31,17
large-3x3-e20-b256-sarsa-sp100.pt,SARSA,100,35,47,18
large-3x3-e20-b64-q-sp10.pt,Q,10,7,0,3
large-3x3-e20-b64-sarsa-sp10.pt,SARSA,10,8,0,2
large-3x3-e20-b64-q-sp50.pt,Q,50,16,4,30
large-3x3-e20-b64-sarsa-sp50.pt,SARSA,50,38,4,8
large-3x3-e20-b64-q-sp100.pt,Q,100,50,9,41
large-3x3-e20-b64-sarsa-sp100.pt,SARSA,100,59,31,10
large-3x3-e50-b128-q-sp10.pt,Q,10,2,2,6
large-3x3-e50-b128-sarsa-sp10.pt,SARSA,10,1,4,5
large-3x3-e50-b128-q-sp50.pt,Q,50,27,11,12
large-3x3-e50-b128-sarsa-sp50.pt,SARSA,50,31,14,5
large-3x3-e50-b128-q-sp100.pt,Q,100,60,20,20
large-3x3-e50-b128-sarsa-sp100.pt,SARSA,100,76,19,5
large-3x3-e50-b256-q-sp10.pt,Q,10,10,0,0
large-3x3-e50-b256-sarsa-sp10.pt,SARSA,10,6,1,3
large-3x3-e50-b256-q-sp50.pt,Q,50,33,12,5
large-3x3-e50-b256-sarsa-sp50.pt,SARSA,50,33,13,4
large-3x3-e50-b256-q-sp100.pt,Q,100,55,25,20
large-3x3-e50-b256-sarsa-sp100.pt,SARSA,100,64,29,7
large-3x3-e50-b64-q-sp10.pt,Q,10,7,2,1
large-3x3-e50-b64-sarsa-sp10.pt,SARSA,10,8,2,0
large-3x3-e50-b64-q-sp50.pt,Q,50,41,5,4
large-3x3-e50-b64-sarsa-sp50.pt,SARSA,50,27,19,4
large-3x3-e50-b64-q-sp100.pt,Q,100,48,45,7
large-3x3-e50-b64-sarsa-sp100.pt,SARSA,100,74,18,8
large-3x3x3-e100-b128-q-sp10.pt,Q,10,9,1,0
large-3x3x3-e100-b128-sarsa-sp10.pt,SARSA,10,7,3,0
large-3x3x3-e100-b128-q-sp50.pt,Q,50,32,18,0
large-3x3x3-e100-b128-sarsa-sp50.pt,SARSA,50,26,24,0
large-3x3x3-e100-b128-q-sp100.pt,Q,100,43,57,0
large-3x3x3-e100-b128-sarsa-sp100.pt,SARSA,100,56,44,0
large-3x3x3-e100-b256-q-sp10.pt,Q,10,7,3,0
large-3x3x3-e100-b256-sarsa-sp10.pt,SARSA,10,4,6,0
large-3x3x3-e100-b256-q-sp50.pt,Q,50,22,28,0
large-3x3x3-e100-b256-sarsa-sp50.pt,SARSA,50,30,20,0
large-3x3x3-e100-b256-q-sp100.pt,Q,100,64,36,0
large-3x3x3-e100-b256-sarsa-sp100.pt,SARSA,100,71,29,0
large-3x3x3-e100-b64-q-sp10.pt,Q,10,8,2,0
large-3x3x3-e100-b64-sarsa-sp10.pt,SARSA,10,8,2,0
large-3x3x3-e100-b64-q-sp50.pt,Q,50,37,13,0
large-3x3x3-e100-b64-sarsa-sp50.pt,SARSA,50,35,15,0
large-3x3x3-e100-b64-q-sp100.pt,Q,100,47,53,0
large-3x3x3-e100-b64-sarsa-sp100.pt,SARSA,100,57,43,0
large-3x3x3-e20-b128-q-sp10.pt,Q,10,6,4,0
large-3x3x3-e20-b128-sarsa-sp10.pt,SARSA,10,6,4,0
large-3x3x3-e20-b128-q-sp50.pt,Q,50,31,19,0
large-3x3x3-e20-b128-sarsa-sp50.pt,SARSA,50,29,21,0
large-3x3x3-e20-b128-q-sp100.pt,Q,100,68,32,0
large-3x3x3-e20-b128-sarsa-sp100.pt,SARSA,100,57,43,0
large-3x3x3-e20-b256-q-sp10.pt,Q,10,8,2,0
large-3x3x3-e20-b256-sarsa-sp10.pt,SARSA,10,5,5,0
large-3x3x3-e20-b256-q-sp50.pt,Q,50,26,24,0
large-3x3x3-e20-b256-sarsa-sp50.pt,SARSA,50,28,22,0
large-3x3x3-e20-b256-q-sp100.pt,Q,100,46,54,0
large-3x3x3-e20-b256-sarsa-sp100.pt,SARSA,100,57,43,0
large-3x3x3-e20-b64-q-sp10.pt,Q,10,6,4,0
large-3x3x3-e20-b64-sarsa-sp10.pt,SARSA,10,6,4,0
large-3x3x3-e20-b64-q-sp50.pt,Q,50,28,22,0
large-3x3x3-e20-b64-sarsa-sp50.pt,SARSA,50,26,24,0
large-3x3x3-e20-b64-q-sp100.pt,Q,100,59,41,0
large-3x3x3-e20-b64-sarsa-sp100.pt,SARSA,100,59,41,0
large-3x3x3-e50-b128-q-sp10.pt,Q,10,6,4,0
large-3x3x3-e50-b128-sarsa-sp10.pt,SARSA,10,8,2,0
large-3x3x3-e50-b128-q-sp50.pt,Q,50,33,17,0
